,0,1,2
0,Plate 1 CHX 1 cm day 2 GFP_RGB_GFP_22_38.tif,355.0,230.0
1,Plate 10 CHX 2 cm day 2 GFP_RGB_GFP_22_38.tif,306.0,248.0
2,Plate 11 CHX 2 cm day 2 GFP_RGB_GFP_22_38.tif,342.0,247.0
3,Plate 12 CHX 2 cm day 2 GFP_RGB_GFP_22_38.tif,277.0,244.0
4,Plate 13 CHX 1 cm day 2 GFP_RGB_GFP_34_96.tif,515.49854,511.5
5,Plate 14 CHX 1 cm day 2 GFP_RGB_GFP_34_96.tif,512.5,504.00366
6,Plate 15 CHX 1 cm day 2 GFP_RGB_GFP_34_96.tif,518.49707,495.00805
7,Plate 16 CHX 1 cm day 2 GFP_RGB_GFP_34_96.tif,518.49707,511.5
8,Plate 17 CHX 1.5 cm day 2 GFP_RGB_GFP_34_96.tif,505.00366,499.50586
9,Plate 18 CHX 1.5 cm day 2 GFP_RGB_GFP_34_96.tif,519.99634,514.49854
10,Plate 19 CHX 1.5 cm day 2 GFP_RGB_GFP_34_96.tif,515.49854,524.99341
11,Plate 2 CHX 1 cm day 2 GFP_RGB_GFP_22_38.tif,337.0,235.0
12,Plate 20 CHX 1.5 cm day 2 GFP_RGB_GFP_34_96.tif,512.5,526.49268
13,Plate 21 CHX 2 cm day 2 GFP_RGB_GFP_34_96.tif,505.00366,505.50293
14,Plate 22 CHX 2 cm day 2 GFP_RGB_GFP_34_96.tif,522.99488,508.50146
15,Plate 23 CHX 2 cm day 2 GFP_RGB_GFP_34_96.tif,515.49854,510.00073
16,Plate 24 CHX 2 cm day 2 GFP_RGB_GFP_34_96.tif,479.51611,504.00366
17,Plate 25 CHX 2 cm day 2 GFP_RGB_GFP_34_96.tif,511.00073,521.99488
18,Plate 26 CHX 3 cm day 2 GFP_RGB_GFP_34_96.tif,515.49854,512.99927
19,Plate 27 CHX 3 cm day 2 GFP_RGB_GFP_34_96.tif,521.49561,523.49414
20,Plate 28 CHX 3 cm day 2 GFP_RGB_GFP_34_96.tif,519.99634,501.00512
21,Plate 29 CHX 3 cm day 2 GFP_RGB_GFP_34_96.tif,511.00073,523.49414
22,Plate 3 CHX 1 cm day 2 GFP_RGB_GFP_22_38.tif,321.0,213.0
23,Plate 4 CHX 1 cm day 2 GFP_RGB_GFP_22_38.tif,340.0,220.0
24,Plate 5 CHX 1.5 cm day 2 GFP_RGB_GFP_22_38.tif,311.0,224.0
25,Plate 6 CHX 1.5 cm day 2 GFP_RGB_GFP_22_38.tif,337.0,247.0
26,Plate 7 CHX 1.5 cm day 2 GFP_RGB_GFP_22_38.tif,333.0,250.0
27,Plate 8 CHX 1.5 cm day 2 GFP_RGB_GFP_22_38.tif,346.0,242.0
28,Plate 9 CHX 2 cm day 2 GFP_RGB_GFP_22_38.tif,351.0,237.0
0,Plate 30 CHX 1.5 cm day 2 GFP_RGB_GFP_34_96.tif,370.06955,486.01245
1,Plate 31 CHX 1.5 cm day 2 GFP_RGB_GFP_34_96.tif,362.57321,454.52782
2,Plate 32 CHX 1.5 cm day 2 GFP_RGB_GFP_34_96.tif,319.09444,487.51171
3,Plate 33 CHX 1 cm day 2 GFP_RGB_GFP_34_96.tif,382.06369,469.5205
4,Plate 34 CHX 1 cm day 2 GFP_RGB_GFP_34_96.tif,386.56149,456.02709
5,Plate 35 CHX 1 cm day 2 GFP_RGB_GFP_34_96.tif,407.55124,472.51903
6,Plate 36 CHX 1 cm day 2 GFP_RGB_GFP_34_96.tif,362.57321,459.02562
7,Plate 37 CHX 1 cm day 2 GFP_RGB_GFP_34_96.tif,403.05344,529.49122
8,Plate 38 CHX 1 cm day 2 GFP_RGB_GFP_34_96.tif,425.54246,526.49268
9,Plate 39 CHX 1 cm day 2 GFP_RGB_GFP_34_96.tif,430.04026,493.50878
10,Plate 40 CHX 3 cm day 2 GFP_RGB_GFP_34_96.tif,472.01977,475.51757
11,Plate 41 CHX 3 cm day 2 GFP_RGB_GFP_34_96.tif,536.48829,495.00805
12,Plate 42 CHX 3 cm day 2 GFP_RGB_GFP_34_96.tif,455.52782,511.5
13,Plate 43 CHX 3 cm day 2 GFP_RGB_GFP_34_96.tif,500.50586,542.98463
14,Plate 44 CHX 3 cm day 2 GFP_RGB_GFP_34_96.tif,536.48829,490.51025
15,Plate 45 CHX 3 cm day 2 GFP_RGB_GFP_34_96.tif,487.01245,468.02123
16,Plate 46 CHX 3 cm day 2 GFP_RGB_GFP_34_96.tif,472.01977,459.02562
17,Plate 47 CHX 3 cm day 2 GFP_RGB_GFP_34_96.tif,516.9978,496.50732
