,0,1,2
0,Plate 1 CHX 1 cm day 3 GFP_RGB_GFP_22_38.tif,341.0,264.0
1,Plate 10 CHX 2 cm day 3 GFP_RGB_GFP_22_38.tif,341.0,248.0
2,Plate 11 CHX 2 cm day 3 GFP_RGB_GFP_22_38.tif,356.0,244.0
3,Plate 12 CHX 2 cm day 3 GFP_RGB_GFP_22_38.tif,320.0,251.0
4,Plate 13 CHX 1 cm day 3 GFP_RGB_GFP_20_63.tif,448.03148,414.04758
5,Plate 14 CHX 1 cm day 3 GFP_RGB_GFP_20_63.tif,376.06662,438.03587
6,Plate 15 CHX 1 cm day 3 GFP_RGB_GFP_20_63.tif,389.56003,430.53953
7,Plate 16 CHX 1 cm day 3 GFP_RGB_GFP_20_63.tif,370.06955,435.03734
8,Plate 17 CHX 1.5 cm day 3 GFP_RGB_GFP_20_63.tif,392.55857,409.54978
9,Plate 18 CHX 1.5 cm day 3 GFP_RGB_GFP_20_63.tif,410.54978,433.53807
10,Plate 19 CHX 1.5 cm day 3 GFP_RGB_GFP_20_63.tif,415.04758,441.03441
11,Plate 2 CHX 1 cm day 3 GFP_RGB_GFP_22_38.tif,338.0,241.0
12,Plate 20 CHX 1.5 cm day 3 GFP_RGB_GFP_20_63.tif,374.56735,402.05344
13,Plate 21 CHX 2 cm day 3 GFP_RGB_GFP_20_63.tif,497.50732,423.04319
14,Plate 22 CHX 2 cm day 3 GFP_RGB_GFP_20_63.tif,473.51903,427.541
15,Plate 23 CHX 2 cm day 3 GFP_RGB_GFP_20_63.tif,478.01684,448.53075
16,Plate 24 CHX 2 cm day 3 GFP_RGB_GFP_20_63.tif,496.00805,448.53075
17,Plate 25 CHX 2 cm day 3 GFP_RGB_GFP_20_63.tif,385.06223,417.04612
18,Plate 26 CHX 3 cm day 3 GFP_RGB_GFP_20_63.tif,528.99195,444.03294
19,Plate 27 CHX 3 cm day 3 GFP_RGB_GFP_20_63.tif,482.51464,450.03001
20,Plate 28 CHX 3 cm day 3 GFP_RGB_GFP_20_63.tif,479.51611,445.53221
21,Plate 29 CHX 3 cm day 3 GFP_RGB_GFP_20_63.tif,499.00659,405.05198
22,Plate 3 CHX 1 cm day 3 GFP_RGB_GFP_22_38.tif,362.0,232.0
23,Plate 4 CHX 1 cm day 3 GFP_RGB_GFP_22_38.tif,290.0,253.0
24,Plate 5 CHX 1.5 cm day 3 GFP_RGB_GFP_22_38.tif,351.0,253.0
25,Plate 6 CHX 1.5 cm day 3 GFP_RGB_GFP_22_38.tif,348.0,239.0
26,Plate 7 CHX 1.5 cm day 3 GFP_RGB_GFP_22_38.tif,333.0,236.0
27,Plate 8 CHX 1.5 cm day 3 GFP_RGB_GFP_22_38.tif,337.0,242.0
28,Plate 9 CHX 2 cm day 3 GFP_RGB_GFP_22_38.tif,312.0,241.0
0,Plate 30 CHX 1.5 cm day 3 GFP_RGB_GFP_34_96.tif,386.56149,495.00805
1,Plate 31 CHX 1.5 cm day 3 GFP_RGB_GFP_34_96.tif,380.56442,489.01098
2,Plate 32 CHX 1.5 cm day 3 GFP_RGB_GFP_34_96.tif,421.04466,487.51171
3,Plate 33 CHX 1 cm day 3 GFP_RGB_GFP_34_96.tif,400.0549,478.51611
4,Plate 34 CHX 1 cm day 3 GFP_RGB_GFP_34_96.tif,373.06808,505.50293
5,Plate 35 CHX 1 cm day 3 GFP_RGB_GFP_34_96.tif,433.0388,480.01537
6,Plate 36 CHX 1 cm day 3 GFP_RGB_GFP_34_96.tif,400.0549,487.51171
7,Plate 37 CHX 1 cm day 3 GFP_RGB_GFP_34_96.tif,421.04466,510.00073
8,Plate 38 CHX 1 cm day 3 GFP_RGB_GFP_34_96.tif,437.5366,510.00073
9,Plate 39 CHX 1 cm day 3 GFP_RGB_GFP_34_96.tif,404.55271,454.52782
10,Plate 40 CHX 3 cm day 3 GFP_RGB_GFP_34_96.tif,512.5,495.00805
11,Plate 41 CHX 3 cm day 3 GFP_RGB_GFP_34_96.tif,458.52635,498.00659
12,Plate 42 CHX 3 cm day 3 GFP_RGB_GFP_34_96.tif,457.02709,529.49122
13,Plate 43 CHX 3 cm day 3 GFP_RGB_GFP_34_96.tif,488.51171,510.00073
14,Plate 44 CHX 3 cm day 3 GFP_RGB_GFP_34_96.tif,479.51611,502.50439
15,Plate 45 CHX 3 cm day 3 GFP_RGB_GFP_34_96.tif,505.00366,457.52635
16,Plate 46 CHX 3 cm day 3 GFP_RGB_GFP_34_96.tif,521.49561,495.00805
17,Plate 47 CHX 3 cm day 3 GFP_RGB_GFP_34_96.tif,491.51025,459.02562
