,min_thresh_inner,min_thresh_outer,erode_kernel_size,erode_iterations
Plate 1 CHX 1 cm day 1 GFP_RGB_GFP_22_38.tif,,0.1,,
Plate 1 CHX 1 cm day 2 GFP_RGB_GFP_22_38.tif,0.4,0.1,5,3
Plate 1 CHX 1 cm day 3 GFP_RGB_GFP_22_38.tif,0.26,0.1,5,3
Plate 10 CHX 2 cm day 1 GFP_RGB_GFP_22_38.tif,,0.1,,
Plate 10 CHX 2 cm day 2 GFP_RGB_GFP_22_38.tif,0.4,0.1,5,3
Plate 10 CHX 2 cm day 3 GFP_RGB_GFP_22_38.tif,0.25,0.1,5,3
Plate 11 CHX 2 cm day 1 GFP_RGB_GFP_22_38.tif,,0.1,,
Plate 11 CHX 2 cm day 2 GFP_RGB_GFP_22_38.tif,0.345,0.1,5,3
Plate 11 CHX 2 cm day 3 GFP_RGB_GFP_22_38.tif,0.275,0.1,5,3
Plate 12 CHX 2 cm day 1 GFP_RGB_GFP_22_38.tif,,0.1,,
Plate 12 CHX 2 cm day 2 GFP_RGB_GFP_22_38.tif,0.295,0.1,5,3
Plate 12 CHX 2 cm day 3 GFP_RGB_GFP_22_38.tif,0.27,0.1,5,3
Plate 14 CHX 1 cm day 1 GFP_RGB_GFP_34_96.tif,,0.1,,
Plate 14 CHX 1 cm day 2 GFP_RGB_GFP_34_96.tif,0.4,0.1,5,3
Plate 14 CHX 1 cm day 3 GFP_RGB_GFP_20_63.tif,0.3,0.1,5,3
Plate 17 CHX 1.5 cm day 1 GFP_RGB_GFP_34_96.tif,,0.1,,
Plate 17 CHX 1.5 cm day 2 GFP_RGB_GFP_34_96.tif,0.49,0.1,5,3
Plate 17 CHX 1.5 cm day 3 GFP_RGB_GFP_20_63.tif,0.38,0.1,5,3
Plate 18 CHX 1.5 cm day 1 GFP_RGB_GFP_34_96.tif,,0.1,,
Plate 18 CHX 1.5 cm day 2 GFP_RGB_GFP_34_96.tif,0.4,0.1,5,3
Plate 18 CHX 1.5 cm day 3 GFP_RGB_GFP_20_63.tif,0.325,0.1,5,3
Plate 19 CHX 1.5 cm day 1 GFP_RGB_GFP_34_96.tif,,0.1,,
Plate 19 CHX 1.5 cm day 2 GFP_RGB_GFP_34_96.tif,0.4,0.1,5,3
Plate 19 CHX 1.5 cm day 3 GFP_RGB_GFP_20_63.tif,0.33,0.1,5,3
Plate 2 CHX 1 cm day 1 GFP_RGB_GFP_22_38.tif,,0.1,,
Plate 2 CHX 1 cm day 2 GFP_RGB_GFP_22_38.tif,0.4,0.1,5,3
Plate 2 CHX 1 cm day 3 GFP_RGB_GFP_22_38.tif,0.3,0.1,5,3
Plate 20 CHX 1.5 cm day 1 GFP_RGB_GFP_34_96.tif,,0.1,,
Plate 20 CHX 1.5 cm day 2 GFP_RGB_GFP_34_96.tif,0.46,0.1,5,3
Plate 20 CHX 1.5 cm day 3 GFP_RGB_GFP_20_63.tif,0.365,0.1,5,3
Plate 21 CHX 2 cm day 1 GFP_RGB_GFP_34_96.tif,,0.1,,
Plate 21 CHX 2 cm day 2 GFP_RGB_GFP_34_96.tif,0.425,0.1,5,3
