,0,1,2
0,Plate 1 CHX 1 cm day 1 GFP_RGB_GFP_22_38.tif,195.0,244.0
1,Plate 10 CHX 2 cm day 1 GFP_RGB_GFP_22_38.tif,198.0,253.0
2,Plate 11 CHX 2 cm day 1 GFP_RGB_GFP_22_38.tif,188.0,240.0
3,Plate 12 CHX 2 cm day 1 GFP_RGB_GFP_22_38.tif,186.0,255.0
4,Plate 13 CHX 1 cm day 1 GFP_RGB_GFP_34_96.tif,294.0,301.5
5,Plate 14 CHX 1 cm day 1 GFP_RGB_GFP_34_96.tif,311.0,298.5
6,Plate 15 CHX 1 cm day 1 GFP_RGB_GFP_34_96.tif,297.0,303.5
7,Plate 16 CHX 1 cm day 1 GFP_RGB_GFP_34_96.tif,319.0,303.5
8,Plate 17 CHX 1.5 cm day 1 GFP_RGB_GFP_34_96.tif,310.0,300.5
9,Plate 18 CHX 1.5 cm day 1 GFP_RGB_GFP_34_96.tif,307.0,304.5
10,Plate 19 CHX 1.5 cm day 1 GFP_RGB_GFP_34_96.tif,302.0,312.5
11,Plate 2 CHX 1 cm day 1 GFP_RGB_GFP_22_38.tif,151.0,244.0
12,Plate 20 CHX 1.5 cm day 1 GFP_RGB_GFP_34_96.tif,300.0,300.5
13,Plate 21 CHX 2 cm day 1 GFP_RGB_GFP_34_96.tif,297.0,298.5
14,Plate 22 CHX 2 cm day 1 GFP_RGB_GFP_34_96.tif,297.0,298.5
15,Plate 23 CHX 2 cm day 1 GFP_RGB_GFP_34_96.tif,295.0,303.5
16,Plate 24 CHX 2 cm day 1 GFP_RGB_GFP_34_96.tif,295.0,303.5
17,Plate 25 CHX 2 cm day 1 GFP_RGB_GFP_34_96.tif,306.0,297.5
18,Plate 26 CHX 3 cm day 1 GFP_RGB_GFP_34_96.tif,297.0,303.5
19,Plate 27 CHX 3 cm day 1 GFP_RGB_GFP_34_96.tif,298.0,304.5
20,Plate 28 CHX 3 cm day 1 GFP_RGB_GFP_34_96.tif,301.0,292.5
21,Plate 29 CHX 3 cm day 1 GFP_RGB_GFP_34_96.tif,301.0,293.5
22,Plate 3 CHX 1 cm day 1 GFP_RGB_GFP_22_38.tif,147.0,224.0
23,Plate 4 CHX 1 cm day 1 GFP_RGB_GFP_22_38.tif,157.0,248.0
24,Plate 5 CHX 1.5 cm day 1 GFP_RGB_GFP_22_38.tif,186.0,230.0
25,Plate 6 CHX 1.5 cm day 1 GFP_RGB_GFP_22_38.tif,156.0,231.0
26,Plate 7 CHX 1.5 cm day 1 GFP_RGB_GFP_22_38.tif,173.0,248.0
27,Plate 8 CHX 1.5 cm day 1 GFP_RGB_GFP_22_38.tif,156.0,259.0
28,Plate 9 CHX 2 cm day 1 GFP_RGB_GFP_22_38.tif,204.0,239.0
0,Plate 30 CHX 1.5 cm day 1 GFP_RGB_GFP_34_96.tif,371.56881,460.52489
1,Plate 31 CHX 1.5 cm day 1 GFP_RGB_GFP_34_96.tif,422.54392,514.49854
2,Plate 32 CHX 1.5 cm day 1 GFP_RGB_GFP_34_96.tif,361.07394,504.00366
3,Plate 33 CHX 1 cm day 1 GFP_RGB_GFP_34_96.tif,415.04758,498.00659
4,Plate 34 CHX 1 cm day 1 GFP_RGB_GFP_34_96.tif,434.53807,471.01977
5,Plate 35 CHX 1 cm day 1 GFP_RGB_GFP_34_96.tif,362.57321,483.01391
6,Plate 36 CHX 1 cm day 1 GFP_RGB_GFP_34_96.tif,424.04319,496.50732
7,Plate 37 CHX 1 cm day 1 GFP_RGB_GFP_34_96.tif,448.03148,490.51025
8,Plate 38 CHX 1 cm day 1 GFP_RGB_GFP_34_96.tif,446.53221,496.50732
9,Plate 39 CHX 1 cm day 1 GFP_RGB_GFP_34_96.tif,386.56149,475.51757
10,Plate 40 CHX 3 cm day 1 GFP_RGB_GFP_34_96.tif,485.51318,498.00659
11,Plate 41 CHX 3 cm day 1 GFP_RGB_GFP_34_96.tif,508.0022,478.51611
12,Plate 42 CHX 3 cm day 1 GFP_RGB_GFP_34_96.tif,497.50732,444.03294
13,Plate 43 CHX 3 cm day 1 GFP_RGB_GFP_34_96.tif,512.5,512.99927
14,Plate 44 CHX 3 cm day 1 GFP_RGB_GFP_34_96.tif,493.00952,499.50586
15,Plate 45 CHX 3 cm day 1 GFP_RGB_GFP_34_96.tif,478.01684,474.0183
16,Plate 46 CHX 3 cm day 1 GFP_RGB_GFP_34_96.tif,506.50293,474.0183
17,Plate 47 CHX 3 cm day 1 GFP_RGB_GFP_34_96.tif,506.50293,489.01098
